from_user,user_followers_count,user_friends_count,retweet,tweet
osalanEJGV,6771,5715,True,False
CEAinforma,2073,445,True,False
Plataforma3sect,5194,3591,True,False
Plataforma3sect,5194,3591,True,False
CesarNandis,12,29,True,False
Mesa3sectorAst,75,78,False,True
sanchezg13,759,1449,True,False
Mesa3sectorAst,75,78,False,True
OissSec,1587,414,True,False
AOlveira81,508,395,True,False
santiagopinzong,5431,2761,False,True
CDR_Portabertas,163,368,True,False
Plataforma3sect,5194,3591,True,False
Plataforma3sect,5194,3591,True,False
ideas_es,6726,1796,True,False
LoliRicoG,3346,2071,False,True
Cenpromype_sica,5432,712,True,False
Cermi_Estatal,26919,7437,True,False
Cermi_Estatal,26919,7437,True,False
fescancantabria,1020,132,False,True
TeatroCero,33,234,True,False
EmbChileJapon,599,194,True,False
FCermiMujeres,3051,1443,True,False
anaisojz,552,1014,True,False
PlataformadeONG,7550,735,False,True
Plataforma3sect,5194,3591,False,True
Plataforma3sect,5194,3591,True,False
PlataformadeONG,7550,735,False,True
Plataforma3sect,5194,3591,True,False
PlataformadeONG,7550,735,False,True
Plataforma3sect,5194,3591,True,False
LauCVEM,2461,933,True,False
Caminomoya,2230,2064,True,False
fescancantabria,1020,132,False,True
EmbEspAlemania,2979,268,False,True
DircomCAN,509,271,True,False
imaeso,341,974,False,True
Corresponsables,29072,537,False,True
NantikLum,1114,788,False,True
anikka91,834,1723,True,False
LaJimeOK,17,29,True,False
imaeso,341,974,True,False
DircomCAN,509,271,True,False
DircomCAN,509,271,True,False
Metropoliscomu,641,437,False,True
Corresponsables,29072,537,False,True
Catedra_RSC,2594,1069,True,False
CreaCulturaRsC,206,539,True,False
Canaragua,1821,1668,False,True
Juanicolas_in,1144,2034,True,False
GEAccounting,147,284,True,False
pablolabajos_ma,116,158,False,True
FundacionCepaim,6535,1110,False,True
ox_ibarra,167,344,True,False
CorrupticidioRD,5957,6538,True,False
DircomCAN,509,271,True,False
mariposasflores,2053,3656,True,False
ideas_es,6726,1794,True,False
CerveceraCAN,1618,314,True,False
sofiprados,52,24,True,False
Corresponsables,29072,537,False,True
_iplusf,137,436,True,False
marcosgonzalezm,13967,1752,True,False
Eigualia,141,321,False,True
CDR_Portabertas,163,368,True,False
Metropoliscomu,641,437,True,False
anaisojz,552,1014,False,True
DircomCAN,509,271,True,False
atlanticomedio,330,188,True,False
Corresponsables,29072,537,False,True
Corresponsables,29072,537,True,False
Corresponsables,29072,537,True,False
OTGuadalupe,1240,629,True,False
OTGuadalupe,1240,629,True,False
anaisojz,552,1014,True,False
RespSolidarias,454,1251,False,True
CIO_COMPANY,2456,1548,True,False
labvinas,2065,1228,True,False
osalanEJGV,6770,5714,True,False
Corresponsables,29072,537,False,True
vinuales81,7778,5597,False,True
fhortasud,1040,222,True,False
FUNDHEX,931,1458,False,True
titarules,1105,1695,True,False
