ids	screen_name	name	id_mentions
1144191403557347329	LoliRicoG	Dolores Rico Garcia	1484933762
1144191403557347329	ginariano	Gina Riaño	413536351
1144191403557347329	OissSec	OISS	718032769771810800
1144190858163576832	Adolfo_Borrero	Adolfo Borrero	167887897
1144190858163576832	CEAes_	CEA	239348062
1144190858163576832	AaltoCons	Aalto Consultores	899579995508666400
1144190759597498369	Mesa3sectorAst	Mesa3Sector Asturias	724984013744693200
1144190694053036032	Mesa3sectorAst	Mesa3Sector Asturias	724984013744693200
1144190578554540034	Agenda2030MX	Agenda2030MX	995080450271076400
1144190204015783936	PNUDPanama	PNUD Panamá	2348791176
1144190110604439553	LoliRicoG	Dolores Rico Garcia	1484933762
1144190110604439553	ginariano	Gina Riaño	413536351
1144190110604439553	OissSec	OISS	718032769771810800
1144190060394401792	CIRIEC_Esp	CIRIEC-España	1454051322
1144190060394401792	ilo	ILO	364761686
1144190060394401792	UNRISD	UNRISD	25974040
1144189581547491329	PlataformadeONG	Plataforma de ONG	507240283
1144189571095248896	fescancantabria	Fescan	2816771454
1144189410323390464	PlataformadeONG	Plataforma de ONG	507240283
1144189174062505986	sellofairtrade	Sello Fairtrade	253021857
1144189168584732672	ginariano	Gina Riaño	413536351
1144189168584732672	OissSec	OISS	718032769771810800
1144189168584732672	OissSec	OISS	718032769771810800
1144189168584732672	osalanEJGV	Osalan	232143475
1144189051991416832	CooperacionAND	AACID	2799772447
1144188905668927488	Plataforma3sect	Plataforma Tercer Sector	492922958
1144188859426770949	PlataformadeONG	Plataforma de ONG	507240283
1144188782264094720	CreaCulturaRsC	Cultura Responsable - Economía Social.	979627786666209300
1144188782264094720	juanfercs	Juanfer Cs	3306885519
1144188665741991936	Minrel_Chile	Cancillería Chile 🇨🇱	2456754781
1144188551581634561	PlataformadeONG	Plataforma de ONG	507240283
1144188356206780416	Metropoliscomu	Metrópolis	296821425
1144187959064911872	PlataformadeONG	Plataforma de ONG	507240283
1144187744563974144	PlataformadeONG	Plataforma de ONG	507240283
1144187294942973953	fescancantabria	Fescan	2816771454
1144187189376487424	caixabank	CaixaBank	270429778
1144187189376487424	ACCIONA	ACCIONA	15544077
1144187139825033216	FundacionETNOR	Fundación ÉTNOR	125620036
1144187139825033216	PactoMundial	Pacto Mundial	107405774
1144185983597981699	UN	United Nations	14159148
1144185983597981699	ONU_es	Naciones Unidas	119844526
1144185983597981699	ITCnews	ITC	322508230
1144185983597981699	wto	WTO	169963553
1144184750959157248	imaeso	Irene Maeso	123829788
1144184750959157248	DircomCAN	Dircom Canarias	882172214
1144184750959157248	Corresponsables	Corresponsables	87917306
1144184669484802048	DircomCAN	Dircom Canarias	882172214
1144184669484802048	Corresponsables	Corresponsables	87917306
1144184669484802048	CIO_COMPANY	CIO-COMPANY	539837242
1144184669484802048	Endesa	Endesa	482014260
1144184669484802048	CerveceraCAN	CerveceradeCanarias	2414190392
1144184669484802048	Metropoliscomu	Metrópolis	296821425
1144184645040386048	Endesa	Endesa	482014260
1144184645040386048	Corresponsables	Corresponsables	87917306
1144184433991454720	ONU_es	Naciones Unidas	119844526
1144184229879853057	RespSolidarias	RespuestasSolidarias	185548282
1144183810260647936	Edu_Ambiental	Educación Ambiental	2241439914
1144183805340610561	Metropoliscomu	Metrópolis	296821425
1144183669252415488	Corresponsables	Corresponsables	87917306
1144183669252415488	InsidePMI	Philip Morris Intl	914311278
1144183622548774912	Metropoliscomu	Metrópolis	296821425
1144183412846223360	DircomCAN	Dircom Canarias	882172214
1144183412846223360	Corresponsables	Corresponsables	87917306
1144183412846223360	Endesa	Endesa	482014260
1144183412846223360	CIO_COMPANY	CIO-COMPANY	539837242
1144183146935705600	InsidePMI	Philip Morris Intl	914311278
1144182849836376065	FundacionCepaim	Fundación Cepaim	959953956
1144182540418322432	FundacionCepaim	Fundación Cepaim	959953956
1144181672461635584	Corresponsables	Corresponsables	87917306
1144181508812525568	FundacionCepaim	Fundación Cepaim	959953956
1144181248857989120	R4SGroup	R4S	636920570
1144181240070909952	davidgvtierrez	David Gutiérrez	124144679
1144180663928709120	FundacionETNOR	Fundación ÉTNOR	125620036
1144180663928709120	PactoMundial	Pacto Mundial	107405774
1144180167847424002	RespSolidarias	RespuestasSolidarias	185548282
1144180073676906496	Corresponsables	Corresponsables	87917306
1144180073676906496	CerveceraCAN	CerveceradeCanarias	2414190392
1144179907389460481	Corresponsables	Corresponsables	87917306
1144179907389460481	CerveceraCAN	CerveceradeCanarias	2414190392
1144179840364503040	RespSolidarias	RespuestasSolidarias	185548282
1144179718238986240	Corresponsables	Corresponsables	87917306
1144179718238986240	CerveceraCAN	CerveceradeCanarias	2414190392
1144179633023344645	_celera	Celera	1691312480
1144179633023344645	fjgonzalez_l	Javier Gonzalez	770374308589961200
1144179633023344645	UNLEASHlab	UNLEASH	800662947563352000
1144179624160780288	CerveceraCAN	CerveceradeCanarias	2414190392
1144179546318614529	EsHorizonte2020	EsHorizonte2020	1897047114
1144178768363343872	Corresponsables	Corresponsables	87917306
1144178768363343872	Corresponsables	Corresponsables	87917306
1144178768363343872	CEOE_ES	CEOE	332714701
1144178768363343872	Eduardo_Bezares	Eduardo Bezares	879299941956505600
1144178768363343872	DircomCAN	Dircom Canarias	882172214
1144178768363343872	Endesa	Endesa	482014260
1144178768363343872	InsidePMI	Philip Morris Intl	914311278
1144178768363343872	CerveceraCAN	CerveceradeCanarias	2414190392
1144178036197265408	plenaextremadur	Plena inclusión Extremadura	135464761
1144177984338833408	anaisojz	Anaïs Ojeda Pérez	419641675
1144177683900899333	CIO_COMPANY	CIO-COMPANY	539837242
1144177384653897730	Corresponsables	Corresponsables	87917306
1144177384653897730	Corresponsables	Corresponsables	87917306
1144177384653897730	CEOE_ES	CEOE	332714701
1144177384653897730	Eduardo_Bezares	Eduardo Bezares	879299941956505600
1144177384653897730	DircomCAN	Dircom Canarias	882172214
1144177384653897730	Endesa	Endesa	482014260
1144177384653897730	InsidePMI	Philip Morris Intl	914311278
1144177384653897730	CerveceraCAN	CerveceradeCanarias	2414190392
1144177322519683072	InsidePMI	Philip Morris Intl	914311278
1144177322519683072	Corresponsables	Corresponsables	87917306
1144177252315410432	SsuperLe	Leticia Glez	281477060
1144177252315410432	CIO_COMPANY	CIO-COMPANY	539837242
1144177106739503106	CIO_COMPANY	CIO-COMPANY	539837242
1144177106739503106	Corresponsables	Corresponsables	87917306
1144177082500624384	fundacionyuste	Fundación Yuste	2360809178
1144177082500624384	Agenda2030Esp	Alto Comisionado Agenda 2030	1001098842031435800
1144176993598132224	fundacionyuste	Fundación Yuste	2360809178
1144176993598132224	FMayorZaragoza	F. Mayor Zaragoza	608947370
1144176929567846400	SsuperLe	Leticia Glez	281477060
1144176929567846400	CIO_COMPANY	CIO-COMPANY	539837242
1144176849536335872	SsuperLe	Leticia Glez	281477060
1144176849536335872	CIO_COMPANY	CIO-COMPANY	539837242
1144176463542964224	Corresponsables	Corresponsables	87917306
1144176463542964224	labvinas	Laboratorios Viñas	3598948162
1144176137704222720	INSST_MITRAMISS	INSST	372313108
1144176059786694656	jacoblopalo	Jacob López	1623874483
1144176059786694656	CIO_COMPANY	CIO-COMPANY	539837242
1144176059786694656	Corresponsables	Corresponsables	87917306
1144175994741448705	ecodes	ECODES	24144885
1144175973706981376	aeioLuz	aeioluz	4263305007
1144175434088767488	pactoglobalARG	Pacto Global ARG	221841547
1144175434088767488	VALOSRSE1	VALOS	2160913592
1144175265725190145	aeioLuz	aeioluz	4263305007
1144175253498880000	LAURADEVEGAF	Laura de Vega	2829943939
1144174893682122752	santiagopinzong	SantiagoPinzonGalan 🍊	49005215
1144174893682122752	ANDI_Colombia	ANDI	266893089
1144174893682122752	OAS_official	OAS	60685572
1144174893682122752	YABTs	YABT	74846005
1144174825369407489	CIO_COMPANY	CIO-COMPANY	539837242
1144174825369407489	Corresponsables	Corresponsables	87917306
1144174608259649542	Corresponsables	Corresponsables	87917306
1144174608259649542	jacoblopalo	Jacob López	1623874483
1144174413715312642	SsuperLe	Leticia Glez	281477060
1144174413715312642	CIO_COMPANY	CIO-COMPANY	539837242
1144174261118128128	SsuperLe	Leticia Glez	281477060
1144174261118128128	CIO_COMPANY	CIO-COMPANY	539837242
1144173923443122178	SECTUR_mx	SECTUR México	211950587
1144173428464898049	drotorrent	Dani R.	267289786
1144173246629195776	CEOE_ES	CEOE	332714701
1144173246629195776	Fundacion_ONCE	Fundación ONCE	343973305
1144173246629195776	portalento_	Por Talento	132568564
1144173192711458816	AllianzGI_Esp	AllianzGI_ESP	1100696023528292400
1144173192711458816	ONU_es	Naciones Unidas	119844526
1144172840352178178	SandraMArevaloA	Sandra Arevalo	3899548637
1144172711201165312	Emasagra	Emasagra	862771220
1144172711201165312	CREAndalucia	Cruz Roja en Andalucía	1324225178
1144172561376403456	CIO_COMPANY	CIO-COMPANY	539837242
1144172561376403456	DircomCAN	Dircom Canarias	882172214
1144172561376403456	Metropoliscomu	Metrópolis	296821425
1144172282165833730	Heineken_ESCorp	HEINEKEN España	467493948
1144172277174603777	Corresponsables	Corresponsables	87917306
1144172277174603777	Endesa	Endesa	482014260
1144171959745466368	Endesa	Endesa	482014260
1144171959745466368	Corresponsables	Corresponsables	87917306
1144171825024421888	Adolfo_Borrero	Adolfo Borrero	167887897
1144171825024421888	mbellido	manuel bellido	35714553
1144171825024421888	informaria	Informaria Digital	316480171
1144171825024421888	CEAes_	CEA	239348062
1144171825024421888	AaltoCons	Aalto Consultores	899579995508666400
1144171750030303232	Adolfo_Borrero	Adolfo Borrero	167887897
1144171750030303232	mbellido	manuel bellido	35714553
1144171750030303232	informaria	Informaria Digital	316480171
1144171750030303232	CEAes_	CEA	239348062
1144171750030303232	AaltoCons	Aalto Consultores	899579995508666400
1144171592433491970	Corresponsables	Corresponsables	87917306
1144171592433491970	Corresponsables	Corresponsables	87917306
1144171592433491970	CEOE_ES	CEOE	332714701
1144171592433491970	Eduardo_Bezares	Eduardo Bezares	879299941956505600
1144171592433491970	DircomCAN	Dircom Canarias	882172214
1144171592433491970	Endesa	Endesa	482014260
1144171592433491970	InsidePMI	Philip Morris Intl	914311278
1144171592433491970	CerveceraCAN	CerveceradeCanarias	2414190392
1144171530361946112	circugas	Circugas	1078271475398963200
1144171530361946112	creofonte	Creofonte	2308144370
1144171530361946112	FundecytPCTEX	Fundecyt-PCTEX	119678702
1144171530361946112	Metanogenia	Metanogenia	2650395960
1144171399826870272	_marcos_martin	Marcos Martín	1531530068
1144170927636303874	EsHorizonte2020	EsHorizonte2020	1897047114
1144170359199080449	Metropoliscomu	Metrópolis	296821425
1144170359199080449	Corresponsables	Corresponsables	87917306
1144170359199080449	DircomCAN	Dircom Canarias	882172214
1144170359199080449	Endesa	Endesa	482014260
1144170278538424320	Corresponsables	Corresponsables	87917306
1144170278538424320	DircomCAN	Dircom Canarias	882172214
1144170278538424320	Endesa	Endesa	482014260
1144170278538424320	CerveceraCAN	CerveceradeCanarias	2414190392
1144170278538424320	CIO_COMPANY	CIO-COMPANY	539837242
1144170278538424320	ceoetenerife	CEOE-TENERIFE	274498382
1144170139325255680	Corresponsables	Corresponsables	87917306
1144170139325255680	Corresponsables	Corresponsables	87917306
1144170139325255680	CEOE_ES	CEOE	332714701
1144170139325255680	Eduardo_Bezares	Eduardo Bezares	879299941956505600
1144170139325255680	DircomCAN	Dircom Canarias	882172214
1144170139325255680	Endesa	Endesa	482014260
1144170139325255680	InsidePMI	Philip Morris Intl	914311278
1144170139325255680	CerveceraCAN	CerveceradeCanarias	2414190392
1144170096555941893	SsuperLe	Leticia Glez	281477060
1144170096555941893	DircomCAN	Dircom Canarias	882172214
1144169479678701569	fundacionyuste	Fundación Yuste	2360809178
1144169238359416832	CeciliaGuemes	Cecilia Güemes 💚	505996580
1144168961761824769	innovadoresCIP	#CIP	2711710092
1144168682731515910	FAquae	Fundación Aquae	874260307
1144168523058556929	upvehu	UPV/EHU	107051182
1144168523058556929	GEAccounting	GEAccounting	3046878729
1144168331391459328	AsociacionICID	Asociación ICID	829732536
1144167725146738692	DircomCAN	Dircom Canarias	882172214
1144167725146738692	Metropoliscomu	Metrópolis	296821425
1144166789712138242	ongdclm	Coordinadora ONGDCLM	179501843
1144166789712138242	uclm_es	Universidad de Castilla-La Mancha	123471479
1144166789712138242	SODePAZ	SODEPAZ	155191243
1144166789712138242	_CARITAS	Cáritas Española	205221227
1144166789712138242	prosalus	Prosalus	16025497
1144166782980251648	EsHorizonte2020	EsHorizonte2020	1897047114
1144165892969947137	Corresponsables	Corresponsables	87917306
1144165892969947137	CEOE_ES	CEOE	332714701
1144165892969947137	Eduardo_Bezares	Eduardo Bezares	879299941956505600
1144165892969947137	DircomCAN	Dircom Canarias	882172214
1144165892969947137	Endesa	Endesa	482014260
1144165892969947137	InsidePMI	Philip Morris Intl	914311278
1144165892969947137	CerveceraCAN	CerveceradeCanarias	2414190392
1144165892969947137	CIO_COMPANY	CIO-COMPANY	539837242
1144165892969947137	atlanticomedio	Univ Atlántico Medio	718541621822931000
1144165892969947137	Corresponsables	Corresponsables	87917306
1144165647238275073	davidgvtierrez	David Gutiérrez	124144679
1144165590124421120	RSConsulting6	R&S Consulting	1131343549398691800
1144165523950841856	datapopalliance	Data-Pop Alliance	2176619587
1144165452882620417	CarrefourES	Carrefour España	275430095
1144165452882620417	Endesa	Endesa	482014260
1144165452882620417	fundacionorange	Fundación Orange	243683496
1144165452882620417	FundVodafone	Fundación Vodafone	162018128
1144165424331927552	Juanfradelgado	Juanfradelgado	17498693
1144165082663985154	SusChemSpain	SusChem-España	1427293460
1144165082663985154	RehapProject	Rehap	824984548677185500
1144165063223402496	GEAccounting	GEAccounting	3046878729
1144165063223402496	deusto	Universidad Deusto	18240228
1144164478625427457	Feique_Prensa	Feique	1070315160
1144163878714204165	GEAccounting	GEAccounting	3046878729
1144163471807909888	sanitas	Sanitas	14975940
1144163408926953472	_marcos_martin	Marcos Martín	1531530068
1144162797963677696	redespanola	REDR	287598163
1144162054934355968	UN	United Nations	14159148
1144162054934355968	ONU_es	Naciones Unidas	119844526
1144162054934355968	ITCnews	ITC	322508230
1144162054934355968	wto	WTO	169963553
1144161818677522432	COFIDES	COFIDES	882598932
1144161371866746880	ongdclm	Coordinadora ONGDCLM	179501843
1144161371866746880	uclm_es	Universidad de Castilla-La Mancha	123471479
1144161371866746880	SODePAZ	SODEPAZ	155191243
1144161371866746880	_CARITAS	Cáritas Española	205221227
1144161371866746880	prosalus	Prosalus	16025497
1144161323678351360	EsHorizonte2020	EsHorizonte2020	1897047114
1144161080664567808	contacteando	@contacteando	788648096100151300
1144161080664567808	matejcre	Manuel Tejedor	141138987
1144160956395773952	uclm_es	Universidad de Castilla-La Mancha	123471479
1144160956395773952	SODePAZ	SODEPAZ	155191243
1144160956395773952	_CARITAS	Cáritas Española	205221227
1144160956395773952	prosalus	Prosalus	16025497
1144160782772592640	SSDPedomex	Desarrollo Político #Edomex	3684427368
1144160661544603648	agbtic	Adrián García Bruzón	2556428431
1144160661544603648	Spainsif	Spainsif	385385845
1144160661544603648	IEbusiness	IE Business School	16736241
1144160259348606981	COFIDES	COFIDES	882598932
1144160187340787712	esimpact	Asociacion EsImpact	1126121775350284300
1144160187340787712	MariaErquiaga	María Erquiaga	159071832
1144160187340787712	bbva	BBVA	16808626
1144160187340787712	gitanos_org	F.SecretariadoGitano	564420086
1144160187340787712	FIIAPP	FIIAPP	97046115
1144160030888988672	GEAccounting	GEAccounting	3046878729
1144160030888988672	UPVeranoEHUdan	Uda Ikastaroak EHU	161221830
1144160030888988672	deustoDBS	Deusto DBS	821236585
1144160030888988672	upvehu	UPV/EHU	107051182
1144160030888988672	lantegibatuak	Lantegi Batuak	216362885
1144160030888988672	GEAccounting	GEAccounting	3046878729
1144160030888988672	LeireSanJose	ECRI ehu ValorSocial	424245533
1144159807814938624	agbtic	Adrián García Bruzón	2556428431
1144159807814938624	Spainsif	Spainsif	385385845
1144159807814938624	IEbusiness	IE Business School	16736241
1144159721974317056	Eventos_EXP	Expansión Eventos	3317118341
1144159614512128000	beambif	Beatriz Fdez	268169202
1144159401399541765	icynthia	Cynthia Gálvez	11665132
1144159248412217345	drotorrent	Dani R.	267289786
1144159174017867776	Agenda_Empresa	Agenda de la Empresa	800259944
1144159031336087552	UPVeranoEHUdan	Uda Ikastaroak EHU	161221830
1144159031336087552	deustoDBS	Deusto DBS	821236585
1144159031336087552	upvehu	UPV/EHU	107051182
1144159031336087552	lantegibatuak	Lantegi Batuak	216362885
1144159031336087552	GEAccounting	GEAccounting	3046878729
1144159031336087552	LeireSanJose	ECRI ehu ValorSocial	424245533
1144158691245068289	SEGITTUR	SEGITTUR	44964161
1144158691245068289	EdurneVidal	Edurne Vidal	1410002132
1144158691245068289	SEGITTUR	SEGITTUR	44964161
1144158428081737729	Adolfo_Borrero	Adolfo Borrero	167887897
1144158428081737729	mbellido	manuel bellido	35714553
1144158428081737729	informaria	Informaria Digital	316480171
1144158428081737729	CEAes_	CEA	239348062
1144158428081737729	AaltoCons	Aalto Consultores	899579995508666400
1144157944768077824	CongresoCI	CongresoCI	2874824476
1144157944768077824	grupotecmared	GRUPO TECMA RED	375793177
1144157405091115010	CEAes_	CEA	239348062
1144157405091115010	AaltoCons	Aalto Consultores	899579995508666400
1144157405091115010	AMETIC_es	AMETIC	226893634
1144156960008409088	agbtic	Adrián García Bruzón	2556428431
1144156960008409088	Spainsif	Spainsif	385385845
1144156960008409088	IEbusiness	IE Business School	16736241
1144156510135734272	Spainsif	Spainsif	385385845
1144156510135734272	IEbusiness	IE Business School	16736241
1144156192337534976	drotorrent	Dani R.	267289786
1144155733975535617	SEGITTUR	SEGITTUR	44964161
1144155733975535617	EdurneVidal	Edurne Vidal	1410002132
1144155733975535617	SEGITTUR	SEGITTUR	44964161
1144155691701157889	ONU_es	Naciones Unidas	119844526
1144155691701157889	agdagira	Águeda Giráldez	1330166688
1144154828635082752	beambif	Beatriz Fdez	268169202
1144154761761083392	matejcre	Manuel Tejedor	141138987
1144154761761083392	AbuelasGamonal	@AbuelasDeGamonal	993829272677691400
1144154761761083392	contacteando	@contacteando	788648096100151300
1144154033311162369	OIT_ES	OIT España	1500909942
1144153832714395648	Corresponsables	Corresponsables	87917306
1144152729440444421	ITCnews	ITC	322508230
1144152729440444421	ONU_es	Naciones Unidas	119844526
1144152282201808897	estebandemanuel	Esteban de Manuel	252507583
1144152021341220864	pitirrojo	Natalia Moreno	245535163
1144152021341220864	cristinagallach	Cristina Gallach	281400484
1144151686694494208	Adolfo_Borrero	Adolfo Borrero	167887897
1144151686694494208	mbellido	manuel bellido	35714553
1144151686694494208	informaria	Informaria Digital	316480171
1144151686694494208	CEAes_	CEA	239348062
1144151686694494208	AaltoCons	Aalto Consultores	899579995508666400
1144151462353821696	mbellido	manuel bellido	35714553
1144151462353821696	informaria	Informaria Digital	316480171
1144151462353821696	CEAes_	CEA	239348062
1144151462353821696	AaltoCons	Aalto Consultores	899579995508666400
1144151286599815168	upvehu	UPV/EHU	107051182
1144151286599815168	upvehu	UPV/EHU	107051182
1144150902007357440	FAquae	Fundación Aquae	874260307
1144150846265069568	HOSBEConline	HOSBEC	304304933
